isbn,language_code,text_reviews_count,authors,publisher,num_pages,isbn13,bookID,ratings_count,title,average_rating,publication_month,publication_year
1582409455,,15,"Joe Casey, Derec Donovan",Image Comics,43,9781582409450,4151049,43,"Youngblood, Vol. 1: Focus Tested",2,9,2008
0895263343,,4,Michael S. Hyatt,Regnery Publishing,8,9780895263346,1753889,8,The Millennium Bug: How to Survive the Coming Chaos,2,5,1998
9381836418,eng,1,Vishnu Kaimal,JUFIC BOOKS,3,9789381836415,18516505,3,Love Unhitched,2,12,2012
0373265565,,1,Hewitt Schlereth,Worldwide,2,9780373265565,3538684,2,Heyoka Bood,2,,2006
1780288182,,1,Matthew Campling,Watkins Publishing,3,9781780288185,23395793,3,The 12-Type Enneagram: Know Your Type Improve Your Life,2,9,2015
6056427305,tur,1,"Serkan Inci, Umut Kullar",Karakoyun Yayinlari,1,9786056427305,26089327,1,İnci Sözlük - İnsanlığa Lanet,2,2,2014
9798771389,ind,1,Bagas Prasetyadi,MediaKom,1,9789798771385,15979898,1,2012: Last Evolution,2,,2010
0985511648,,1,Dr. F. Kenton Beshore,World Bible Society,1,9780985511647,27415264,1,Rapture: Pre-Trib Case Closed,2,7,2013
186373810X,,1,"Dyan Blacklock, Ryan Blacklock",Allen & Unwin Australia,5,9781863738101,255700,5,Comet Vomit,2,12,1991
1258014521,,1,"Frank Getlein, Robert Osborn","Literary Licensing, LLC",2,9781258014520,12542594,2,A Modern Demonology: Being Social Criticism in the Form of a Scholarly Dissertation,2,5,2011
1925187055,,1,Broemer Kim,Kim Broemer & Associates Pty Ltd,1,9781925187052,26782905,1,The Magic of Written Goals: How to Turn Your Dreams Into Realty,2,8,2015
1581346638,,5,"D. James Kennedy, Jerry Newcombe",Crossway Books,12,9781581346633,4427,12,What's Wrong with Same-Sex Marriage?,2,2,2005
1593744595,,1,Peggy Hunter,Torrid Books,2,9781593744595,10310443,2,A Lesson in Passion,2,7,2005
039304243X,,1,Raymond Roseoiep,W. W. Norton  Company,1,9780393042436,13707533,1,Love Makes the Air Light,2,11,1965
0749554312,,1,A.A. Publishing,Aa Publishing,1,9780749554316,7235160,1,Amazing Journeys of the World,2,5,2009
1785882449,,2,Saurabh Minni,Packt Publishing,3,9781785882449,28085724,3,Apache Kafka Cookbook,2,11,2015
2011870372,,1,"Eugene Scribe, Eugene Scribe",Hachette Livre Bnf,1,9782011870377,22982252,1,Carlo Broschi,2,4,2013
0761355928,,15,"Jane Lindaman, Nancy Carlson",Carolrhoda Books,44,9780761355922,13163230,44,Zip It!,2,1,2012
0321337433,,1,W. Julian Korab-Karpowicz,Routledge,1,9780321337436,6598329,1,On The History Of Political Philosophy: Great Political Thinkers From Thucydides To Locke,2,7,2007
1494945630,,1,Henry James,Createspace,1,9781494945633,20598315,1,The Story of a Year,2,1,2014
149874723X,,1,"Joseph Raine, Aubrey Cunnington, Joanna Walker, Ronny Cheung, Simon Drysdale",CRC Press,1,9781498747233,30271177,1,"100 Cases in Paediatrics, Second Edition",2,1,2017
083875371X,,1,Elisabeth W. Joyce,Bucknell University Press,1,9780838753712,2347451,1,Cultural Critique and Abstraction: Marianne Moore and the Avant-Garde,2,1,1998
0671639617,eng,2,"Mark LeVine, Michael Pollan, Stephen M. Pollan",Touchstone,3,9780671639617,24530,3,Field Guide to Home Buying in America,2,5,1988
8878761338,ita,1,Vincenzo Maria Oreggia,Edizioni Dell'Arco,1,9788878761339,35184239,1,Pesce d'Aprile a Conakry,2,,2010
0785196617,,11,"Jose Molina, Simone Bianchi",Marvel,82,9780785196617,28016724,82,Amazing Spider-Man: Amazing Grace,2,9,2016
2743628170,fre,1,Salomon de Izarra,Rivages,4,9782743628178,22723735,4,Nous sommes tous morts,2,5,2014
9814747033,eng,1,Vineeta Sinha,Institute of Policy Studies and Straits Times Press,2,9789814747035,29235160,2,Indians,2,,2015
281611970X,fre,1,Olivier Cirendini,Lonely Planet,1,9782816119701,27504969,1,La Réunion,2,10,2012
9513133206,fin,4,Riitta Saastamoinen,Tammi,5,9789513133207,15832906,5,Hymyilevä kameli : elämää Saudi-Arabiassa,2,,2006
031264373X,,28,Galt Niederhoffer,St. Martin's Press,85,9780312643737,15793072,85,Love and Happiness,2,7,2013
0825437202,,1,John R.W. Stott,Candle Books,4,9780825437205,1607777,4,People My Teachers: Around the World in Eighty Years,2,3,2005
0207200637,eng,1,"Pam Harvey, Michael Panckridge",HarperCollins - AU,2,9780207200632,5546942,2,"Ghost of a Chance (The Clued Up 6, #3)",2,10,2007
1565070763,,1,Kimberley Converse,Harvest House Publishers,1,9781565070769,605622,1,Myth of the Perfect Mother,2,1,1993
0412448300,,1,G.M. Megson,Chapman & Hall,1,9780412448300,3918701,1,Transformational Approaches to Systolic Design,2,1,1994
4838104170,,1,"Tom Wright, Kazuhiko Mizuno, Katsuhiko Mizuno",Mitsumura Suiko Shoin,2,9784838104178,26787783,2,Samadhi on Zen Gardens,2,3,2016
1452523363,,1,Maria Gavriel,Balboa Press,1,9781452523361,23466599,1,Love Centered Parenting: Contributing to Your Child's Wellness by Living from the Heart and Cultivating Your Inner Wisdom,2,10,2014
1449718752,,5,Gus Dallas,WestBow Press,5,9781449718756,12076753,5,Proverbs: Reconstructed,2,6,2011
8420407593,spa,22,Ray Loriga,Alfaguara,124,9788420407593,12685961,124,El bebedor de lágrimas,2,10,2011
1608182452,,1,Kate Riggs,Creative Education,1,9781608182459,15089931,1,Wicked Stepmothers,2,1,2013
2080647903,,1,Bernard Frank,Flammarion,2,9782080647900,6694605,2,Les Rats,2,1,2001
1280675934,,1,Sara Delamont,Routledge,1,9781280675935,16794220,1,Sex Roles and the School,2,5,2014
1502739054,,1,William D. Ollivierre,Smashwords Edition,1,9781502739056,23387091,1,Cursed Heroes: The Beginnings,2,10,2014
1782167242,,2,Rhys Wynne,Packt Publishing,2,9781782167242,18260058,2,Bbpress Complete,2,6,2013
0843924950,,3,Drake Douglas,,12,9780843924954,706811,12,Undertow,2,6,1984
8867972243,ita,2,Andrea Bertozzi,goWare,6,9788867972241,23450599,6,Il play è stato assassinato,2,10,2014
0595434789,,7,Julie Sinatra,iUniverse,21,9780595434787,1063475,21,"Under My Skin: My Father, Frank Sinatra the Man Behind the Mystique",2,4,2007
1869404378,,1,"Alan Wright, Ed Hanfling",Auckland University Press,1,9781869404376,6599677,1,Mrkusich: Abstraction in New Zealand,2,6,2009
1511687606,eng,1,Pete Deakon,Createspace Independent Publishing Platform,2,9781511687607,25532857,2,"It's Just Us, Daddy",2,5,2015
1440177627,,1,James R. Wright,iUniverse,1,9781440177620,7638349,1,"FBI: Fidelity, Bravery, Integrity: An Autobiography",2,10,2009
0091879353,,1,Jocasta Innes,Ebury Press,2,9780091879358,12321182,2,Home Time: The Ultimate Manual for Dust-and-Stess-Free Living,2,8,2002
3791338501,,1,Mirela Proske,Prestel Publishing,1,9783791338507,2354221,1,Lucas Cranach the Elder,2,10,2007
1601520263,,2,Stuart A. Kallen,Referencepoint Press,4,9781601520265,3232937,4,Haunted Houses,2,8,2007
8843032070,ita,1,Luca Solari,Carocci Editore,1,9788843032075,17853300,1,La gestione delle risorse umane. Dalle teorie alle persone.,2,11,2004
8966291953,,1,Travis Baker,Caramel Tree Readers,2,9788966291953,18722303,2,Rumpelstiltskin,2,5,2014
186470120X,,1,Philip Jodidio,Images Publishing Group,1,9781864701203,2343268,1,"Minimum Space, Maximum Living, M2",2,11,2006
0439910900,,3,Jean Marzollo,Cartwheel Books,7,9780439910903,1825524,7,I Spy Phonics Fun Boxed Set,2,9,2007
2280301458,fre,2,Matthias Claeys,Harlequin HQN,4,9782280301459,23438456,4,De plume et de sang - Acte I,2,10,2014
1441115536,,2,"Frances Ward, Alexander McCall Smith",Bloomsbury Continuum,2,9781441115539,14619147,2,Why Rousseau Was Wrong: Christianity and the Secular Soul,2,3,2013
0440206065,,2,Daniel Ransom,Dell,2,9780440206064,2953145,2,The Long Midnight,2,12,1992
2809418160,fre,1,"Leah Moore, John Reppion, Colton Worley",Fusion Comics,1,9782809418163,12534141,1,"Dracula, Tome 2",2,4,2011
227722359X,,1,Francoise Xenakis,Editions 84,2,9782277223597,6068853,2,"Mouche Toi, Cleopatre...",2,1,1999
9044535137,nl,3,Tatjana Daan,De Geus,5,9789044535136,25836925,5,De schaamteloze passie van Mademoiselle S.,2,6,2015
1502446111,,1,"Elizabeth L. Brooks, Lynn   Townsend",JMS Books LLC,1,9781502446114,23503466,1,Whetting the Appetite,2,11,2014
1588105555,,1,Michael V. Uschan,Heinemann Library,1,9781588105554,2778794,1,The Fall of Saigon: The End of the Vietnam War,2,3,2002
0758208421,,4,Jacqueline deMontravel,Kensington,26,9780758208422,1478503,26,Escape from Bridezilla,2,2,2007
1404847618,,3,"Adria F. Worsham, Worsham, Mernie Gallagher-Cole",Picture Window Books,4,9781404847613,3287644,4,Max Celebrates Martin Luther King JR. Day,2,9,2008
1280954450,,1,Peter Levin,Open University Press,1,9781280954450,17147441,1,Student-Friendly Guide: Successful Teamwork!,2,1,2010
1432769243,,1,Stephen E. Donnelly,Outskirts Press,1,9781432769246,10809529,1,The Beatles Discography: Volume One - The 60's,2,3,2011
4061832867,jpn,1,"Juko Nishimura, Xi Cun  Shou Xing",Kodansha,1,9784061832862,13420566,1,捜神鬼,2,,1984
1553695747,,1,Roger Alidade,Trafford Publishing,5,9781553695745,1838398,5,Roof of Hell,2,7,2002
0802422594,,1,Mabel Elizabeth Singletary,Lift Every Voice,1,9780802422590,7154064,1,Coming Across Jordan,2,5,2009
0789441608,,1,Geoff Stebbings,,3,9780789441607,3605650,3,American Horticultural Society Practical Guides: Lawns And Groundcovers,2,4,1999
0805061177,,1,Blair Lent,Henry Holt and Co. (BYR),4,9780805061178,1504107,4,Ruby and Fred,2,10,2000
9797800768,ind,2,A. Randika,GagasMedia,7,9789797800765,4770624,7,CacingKepanasan,2,,2006
1454915226,,1,Good Housekeeping UK,Sterling Epicure,2,9781454915225,22715492,2,Cheap Eats: Budget-Busting Ideas That Won't Break the Bank,2,2,2015
145020497X,,2,George Paris,iUniverse,2,9781450204972,8538418,2,A Distant Home,2,4,2010
1463670435,eng,1,Monica Daddio,Amazon,1,9781463670436,15852704,1,Humanizing the Jaguar,2,7,2011
8870786188,ita,1,Audrey Sandbank,Raffaello Cortina,4,9788870786187,9707936,4,Manuale ad uso dei genitori di gemelli: dalla nascita all'adolescenza e oltre,2,,1994
0825441625,,3,Jeanne Zornes,Kregel Publications,2,9780825441622,1268297,2,When I Got on the Highway to Heaven . . . I Didn't Expect Rocky Roads,2,12,2002
0920792863,,1,Peter Reveen,Eden Press,1,9780920792865,12123396,1,The Superconscious World,2,10,1987
0143001418,,1,Margaret Nicholson,Penguin Global,2,9780143001416,2186123,2,The Pocket Aussie Fact Book,2,2,2004
0879240687,,1,Karl Kempton,Light and Dust,1,9780879240684,2466370,1,Rune: A Survey,2,1,1992
0805091564,eng,25,James Proimos Jr.,Henry Holt and Co. (BYR),117,9780805091564,27414368,117,Mac & Cheese: A Friendship Story That Celebrates Being Different,2,11,2016
189277920X,,2,Alan Freedman,Cedar Pub.,2,9781892779205,1519076,2,Driving pursuits of a Chicago cabby,2,,1998
1680792288,,2,Jennifer Strand,Abdo Zoom,2,9781680792287,30685189,2,Benjamin Franklin,2,8,2016
098204674X,,1,H. Srikanth,Bauu Institute,1,9780982046746,8305950,1,Indigenous Peoples in Liberal Democratic States: A Comparative Study of Conflict and Accommodation in Canada and India,2,2,2010
1860193862,eng,1,"Queen Victoria, John Kerr",Brockhampton Press,1,9781860193866,9353726,1,Queen Victorias Scottish Diaries: Her Dream Days,2,12,1998
1560259868,,5,Damien Broderick,Running Press,19,9781560259862,458176,19,Outside the Gates of Science: Why It's Time for the Paranormal to Come in from the Cold,2,5,2007
0985531452,,1,Yun Xiang Tseng,In the Garden Publishing DBA What Would Love Do in,2,9780985531454,16249972,2,Master Within: Passion for Life,2,10,2012
8809616308,ita,1,Gordon Magloire,Giunti Editore,6,9788809616301,13269248,6,L'ultimo sortilegio,2,5,2011
1605211982,eng,1,Riley Ashford,Changeling Press,15,9781605211985,8080978,15,Three,2,,2009
1920468773,eng,2,Reinette,Silver Publishing,2,9781920468774,10190259,2,"Dark Love (Dark Love series, #1)",2,1,2011
1517399467,,2,Nick Stevens,Createspace Independent Publishing Platform,2,9781517399467,27032841,2,"Writing: Freelance: The Secret Sauce Business Blueprint to Freelance Writing, Freelancing & Making Money",2,9,2015
8820090481,ita,1,Roberta De Falco,Sperling & Kupfer,6,9788820090487,21793342,6,Benussi e la silenziosa Ada,2,3,2014
1568811802,,1,Marc Olano,A K PETERS,3,9781568811802,1630668,3,Real-Time Shading,2,6,2002
1477573321,,1,Georges Van Vrekhem,Createspace Independent Publishing Platform,2,9781477573327,15891297,2,Hitler and His God: The Background to the Nazi Phenomenon,2,6,2012
0801057000,,20,Leanne Payne,Baker Publishing Group (MI),84,9780801057007,1344586,84,Healing Homosexuality,2,3,1996
0307096653,,1,Betty Crocker,Golden Press,1,9780307096654,3771516,1,Meatless Main Dishes,2,1,1982
1608704491,,1,Katie Marsico,Cavendish Square Publishing,2,9781608704491,12158651,2,The Texas Polygamist Raid: Religous Freedom Versus Child Welfare,2,9,2011
0451061535,eng,1,Carter Brown,Signet,2,9780451061539,7509750,2,A Corpse for Christmas,2,11,1974
1927068045,eng,1,Michael Kenyon,Thistledown Press,2,9781927068045,16187835,2,A Year at River Mountain,2,9,2012
1491784415,,2,Gabriel Moran,iUniverse,3,9781491784419,29276402,3,Missed Opportunities: Rethinking Catholic Tradition,2,2,2016
0768917530,,1,Peterson's,Peterson Nelnet Co,1,9780768917536,4479797,1,Competitive Colleges 2005-2006,2,4,2005
0898158141,,4,"Andy Meisler, Andy Meister",Ten Speed Press,4,9780898158144,1537350,4,What Not to Name Your Baby,2,3,1996
9029503661,,1,Martin van Amerongen,Arbeiderspers,5,9789029503662,2349167,5,Mahlers Mater dolorosa,2,,1992
0252036964,,1,Julie A. Gallagher,University of Illinois Press,1,9780252036965,13222590,1,Black Women and Politics in New York City,2,5,2012
0851620639,,1,Peter Wastall,Boosey & Hawkes Inc,1,9780851620633,6282932,1,Learn As You Play Trumpet &Amp; Cornet,2,7,1980
0646569694,,4,Glenda Banks,Lacuna,3,9780646569697,16193835,3,A Respectable Married Woman,2,7,2012
0966471210,eng,2,Edward Wright Haile,Roundhouse,2,9780966471212,22087749,2,Here on a Mission: Poems,2,,1999
3781718948,ger,1,Patricia Schroder,Erika Klopp Verlag GmbH,8,9783781718944,18259226,8,Stumme Schreie,2,,2009
1882883608,,1,"Kenneth A. Lucas, Eric Newhouse",Idyll Arbor,1,9781882883608,1982850,1,Outwitting Your Alcoholic,2,7,2005
997177433X,msa,1,M. Fairoz Ahmad,Pustaka Nasional,1,9789971774332,758452,1,Tok Ali: Sebuah Sayembara Novel Watan,2,,2002
0877935955,,2,Jerome Machar,Ave Maria Press,2,9780877935957,2063367,2,"Cross of Death, Tree of Life: A Sacred Reading of the Story of Redemption",2,9,1996
5829105705,rus,1,Rimantas Kociunas,,3,5984260301,18483273,3,Психологическое консультирование и групповая психотерапия,2,,2005
886165116X,ita,1,Matteo Marchesini,Gaffi,1,9788861651166,32875179,1,Poesia senza gergo. Sugli scrittori in versi del Duemila,2,,2012
1597713864,,3,Ruth Walton,Sea to Sea Publications,4,9781597713863,15066966,4,Let's Bake a Cake,2,1,2013
0786717017,,5,Bob Armstrong,Da Capo Press,15,9780786717019,54577,15,Vanilla Slim: An Improbable Pimp in the Empire of Lust,2,12,2005
1849031312,,1,Tess Klein,Schiel & Denver Publishing Limited,2,9781849031318,14494016,2,Lucifer's List,2,1,2012
0750962283,,3,Andrew Rawson,The History Press,6,9780750962285,25363029,6,"A Clash of Thrones: The Power-Crazed Medieval Kings, Popes and Emperors of Europe",2,2,2016
1590785657,,2,"Dave Crawley, Liz Callen",WordSong,6,9781590785652,8066540,6,"Reading, Rhyming, and 'Rithmetic",2,3,2010
8843049232,ita,1,Giovanni Casertano,Carocci,1,9788843049233,24849095,1,I Presocratici,2,4,2009
0823957810,,1,Brenn Jones,PowerKids Press,3,9780823957811,3631246,3,Learning about Equal Rights from the Life of Ruth Bader Ginsburg,2,1,2002
1560255277,,1,Clint Willis,Da Capo Press,8,9781560255277,273955,8,"Crimes of New York: Stories of Crooks, Killers, and Corruption from the World's Toughest City",2,3,2003
0979931525,,1,Chuck Stump,Four Dolphins Press,1,9780979931529,6077379,1,Another Sad Mad Glad Book: The Anatomy of Your Attitude,2,1,2008
9604171704,gre,1,Giannos Aiolou,Empeiria Ekdotike,2,9789604171705,22430175,2,Η νύχτα των εννέα ήλιων: Η συνωμοσία των Cancellieri:,2,,2006
0373527217,,4,Susanne James,Harlequin,28,9780373527212,7476833,28,"The Millionaire's Chosen Bride (The Marriage Bargain, #2)",2,6,2009
1432910450,,2,Kathryn Imler,Heinemann Library,4,9781432910457,5406598,4,Valentines Day,2,8,2008
1429620188,,1,Kristi Johnson,Snap Books,4,9781429620185,3151807,4,Grilled Pizza Sandwich and Other Vegetarian Recipes,2,9,2008
0352341025,,1,Yolanda Celbridge,Nexus,1,9780352341020,2486617,1,Sindi in Silk,2,4,2007
0857072390,eng,1,Simon and Schuster,Simon & Schuster Children's,4,9780857072399,21081064,4,Octonauts and the Monster Map: A Lift-the-Flap Adventure,2,9,2011
1935098012,,5,Tillman Gilson,BASCOM Hill,4,9781935098010,7100064,4,The Very Secret Weapon,2,12,2008
0312559739,eng,70,Cynthia  Robinson,Minotaur Books,257,9780312559731,8034436,257,The Dog Park Club,2,6,2010
0826427766,,2,Todd McFliker,Continuum,7,9780826427762,35573,7,All You Need Is Love to Dismantle an Atomic Bomb: How the Beatles & U2 Changed the World,2,4,2007
8171307442,mal,1,A. Sreedhara Menon,DC Books,2,9788171307449,31828976,2,Kerala and Freedom Struggle,2,8,1997
8862615264,ita,1,Alberto Rosselli,Mattioli 1885,1,9788862615266,34996679,1,La storia del califfato islamico e le pretese egemoniche dell'Isis,2,8,2016
0907516475,eng,1,Richard Schickel,Michael Joseph,2,9780907516477,2220378,2,D. W. Griffith And the Birth of Film,2,,1984
150773431X,,1,Robin Barratt,Createspace,1,9781507734315,27632203,1,Maria's Story: A True Story of Survival,2,1,2015
0747264066,eng,1,Sophie Parkin,Headline,8,9780747264064,6214802,8,Dear Goddess,2,9,2000
9792245391,ind,2,Jodi Dawson,Gramedia Pustaka Utama,30,9789792245394,6401654,30,Her Secret Millionaire / Rahasia Sang Miliuner,2,,2009
9510408182,fin,1,Pasi Heikura,WSOY,3,9789510408186,25162387,3,Aika velikultia – Tuntemattoman sotilaan sanontoja kaikkeen käyttöön,2,,2014
1606907875,eng,2,"Aaron Gillespie, Joyce Chin, Cedric Poulat, Mirka Andolfo, Juanan Ramirez",Dynamite Entertainment,3,9781606907870,26401892,3,Lady Demon: Hell to Pay,2,12,2015
2742743707,fre,1,Serge Rezvani,Babel,1,9782742743704,4315006,1,L’Énigme,2,5,2003
1682306992,eng,26,Robert Evert,Diversion Publishing,35,9781682306994,31338831,35,"Quests of the Kings (The Quests of the Kings Trilogy, #1)",2,3,2017
8806124404,ita,1,Bice Mortara Garavelli,Einaudi,1,9788806124403,16008853,1,Le parole e la giustizia,2,,2001
1483832902,,1,"Thinking Kids, Carson-Dellosa",Thinking Kids,1,9781483832906,28780749,1,"The Complete Book of Handwriting, Grades K - 3",2,2,2016
8804359196,ita,1,Carlo Sgorlon,Mondadori,2,9788804359197,20698361,2,Il guaritore,2,5,1993
1608864499,,5,"Keith Giffen, Andy Kuhn, Kody Chamberlain",BOOM! Studios,23,9781608864492,21869896,23,Tag Deluxe Edition,2,9,2014
3499260220,ger,1,Jenny Bentin,Wunderlich Verlag,1,9783499260223,1835329,1,Die Schule am See. Ein heißer Empfang.,2,,1998
3499260239,ger,1,Jenny Bentin,Wunderlich Verlag,1,9783499260230,1835328,1,Die Schule am See. Spiel mit dem Feuer,2,,1998
0989285413,eng,1,Chelsea Hoffman,Taylor Street Publishing LLC,1,9780989285414,23400891,1,The River of No Return: On the trail of Hannah Anderson and Jim DiMaggio,2,,2013
0552171131,eng,65,The Secret WAG,Transworld Publishers,131,9780552171137,20555484,131,I Am The Secret WAG,2,9,2014
1505523508,eng,1,Elijah Sky,CreateSpace Independent Publishing Platform,1,9781505523508,25573618,1,Elijah's Disney California Adventure Park 2015: The Ultimate Guide,2,12,2014
3463406152,ger,3,Josef Kelnberger,Kindler,10,9783463406152,13507143,10,Bullen und Schweine,2,3,2012
066423240X,,2,Donald Capps,Westminster John Knox Press,6,9780664232405,2658058,6,Jesus the Village Psychiatrist,2,1,2008
0823251144,,1,Erin McKenna,Fordham University Press,1,9780823251148,16234490,1,"Pets, People, and Pragmatism",2,3,2013
0684859815,,6,Faith Stewart-Gordon,Scribner Book Company,12,9780684859811,1931821,12,The Russian Tea Room: A Love Story,2,11,1999
1624316581,,1,Jenna Lee Gleisner,Cherry Lake Publishing,2,9781624316586,18511898,2,We Celebrate Earth Day in Spring,2,1,2014
0552556203,,1,Dick King-Smith,Young Corgi,6,9780552556200,12896144,6,Ninnyhammer,2,8,2008
8800330819,ita,2,Cesare Peri,Le Monnier,4,9788800330817,15737432,4,Il sogno di Daniele,2,,1989
189466809X,ger,2,Lila Phillips,Cranberry Tree Press,3,9781894668095,10388984,3,Murder: A Crafty Business,2,,2002
1442257687,,2,Thomas Macfarlane,Rowman & Littlefield Publishers,2,9781442257689,29882193,2,Experiencing Billy Joel: A Listener's Companion,2,9,2016
082307885X,,2,"Michael Benabib, Bill   Adler",Billboard Books,2,9780823078851,934677,2,In Ya Grill: The Faces of Hip Hop,2,5,2007
0935810145,,1,"Sharon  Nelson, Richard Nelson",Primer Publishers,2,9780935810141,2459294,2,Easy Field Guide to Desert Insects,2,1,1986
1681750732,eng,2,A.J. Llewellyn,Amber Allure,3,9781681750736,26820310,3,Air Bear,2,8,2015
8811684145,ita,1,Alessandra Appiano,Garzanti,6,9788811684145,18619585,6,Solo un uomo,2,9,2013
1886937494,eng,1,"John P. Gunnison, Brant House, George Armin Shaftel, Dana R. Marsh",Adventure House,1,9781886937499,7318343,1,"High Adventure # 59: Dividends of Doom (High Adventure, 59)",2,,2001
0812218787,,2,"Alexia Bloch, Laurel Kendall",University of Pennsylvania Press,2,9780812218787,796392,2,The Museum at the End of the World: Encounters in the Russian Far East,2,5,2004
0878300287,,1,Tamara Karsavina,Theatre Arts Books,1,9780878300280,3012500,1,Classical Ballet: The Flow of Movement,2,7,1974
0761416188,,1,Martin Schwabacher,Cavendish Square Publishing,2,9780761416180,2784905,2,Butterflies,2,1,2003
155570137X,,1,Suzanne Walters,Neal-Schuman Publishers,5,9781555701376,7269376,5,Customer Service: A How-To-Do-It Manual for Librarians,2,1,1994
0415402395,,2,Steve May,Routledge,25,9780415402392,9188126,25,Doing Creative Writing,2,10,2007
1560241519,,1,Ruth Raymond Thone,Routledge,1,9781560241515,3745571,1,Women And Aging: Celebrating Ourselves,2,4,1992
8870167941,ita,1,Ermanno Genre,Claudiana,1,9788870167948,32601992,1,Martin Bucer. Un domenicano riformatore,2,,2010
1439211639,,1,Basil Balian,Booksurge Publishing,2,9781439211632,6993800,2,Once Upon a Time in Iraq,2,11,2008
1861441185,,1,Stella Whitelaw,Need-2-Know,1,9781861441188,14933316,1,Book Proposals: The Essential Guide,2,11,2013
0990581535,,1,The Jersey Shore Writers,Serenity Books,1,9780990581536,23503755,1,Darkness Falls at the Jersey Shore,2,10,2014
3802525310,ger,2,Doriana DelGallo,Egmont,5,9783802525315,5098914,5,Die Reise nach Anderswo,2,,1997
1462083218,,1,Jason Murra,iUniverse.com,1,9781462083213,14383551,1,Me and the Monster: Understanding Borderline Personality Disorder,2,1,2012
